ID,Group,Sex,Session,Trial,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI,
zp05,mother,male,2,21,L,0,2,1,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp05,mother,male,2,22,R,1,1,1,0,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
zp05,mother,male,2,23,L,0,4,1,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp05,mother,male,2,24,L,1,6,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,1,R,0,3,1,0,,1,1,1,0,0,0,0,0,0,0,,,,,,,,
zp07,nursery,male,1,2,L,1,6,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,3,R,0,5,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,4,L,1,5,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,5,L,1,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,6,R,0,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,7,R,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,8,R,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,9,L,1,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,10,R,0,5,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,11,L,1,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,12,R,0,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,13,L,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,14,L,1,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,15,R,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,16,L,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,17,L,1,5,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
zp07,nursery,male,1,18,R,0,2,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
