ID,Group,Sex,Session,Trial,Change,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI
zp01,mother,female,1,1,0,L,1,3,1,0,,0,1,1,0,0,0,0,0,1,0,,,,,,,
zp01,mother,female,1,2,0,L,1,3,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,3,1,R,1,3,1,0,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,4,0,R,1,3,1,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,5,0,R,1,3,1,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,6,1,L,1,3,1,0,11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
zp01,mother,female,1,7,0,L,0,4,1,0,10,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zp01,mother,female,1,8,0,L,1,4,1,0,11,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,1,9,0,L,0,4,1,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,10,0,L,0,3,1,1,52,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,1,11,0,L,0,2,1,0,16,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,1,12,0,L,1,2,1,0,24,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,1,13,0,L,1,3,1,0,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,14,1,R,1,2,1,0,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
zp01,mother,female,1,15,0,R,1,2,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,16,0,R,1,2,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,17,1,L,1,2,1,0,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,18,0,L,0,3,1,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,19,0,L,1,3,1,1,28,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zp01,mother,female,1,20,0,L,1,3,1,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,1,21,1,R,1,3,1,0,13,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,22,0,R,1,3,1,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,23,0,R,1,3,1,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,24,1,L,1,3,1,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,1,25,0,L,1,4,1,0,16,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zp01,mother,female,2,1,0,R,1,3,1,0,,0,3,1,0,0,0,0,0,0,0,,,,,,,
zp01,mother,female,2,2,0,R,1,3,1,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,2,3,1,L,1,3,1,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,4,0,L,1,3,1,0,28,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,5,0,L,1,3,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,6,1,R,1,3,1,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,7,0,R,1,4,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,8,0,R,1,4,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zp01,mother,female,2,9,1,L,1,4,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,10,0,L,1,4,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,11,0,L,1,4,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,12,1,R,1,4,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,13,0,R,1,5,1,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp01,mother,female,2,14,0,R,1,6,1,0,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
